Here is a list for Monotype PostScript fonts.

mair	MAbadi
mgmrx	MGaramondExpert
mgmbx	MGaramondExpert-Bold
mgmbix	MGaramondExpert-BoldItalic
mgmrix	MGaramondExpert-Italic
mgsra	GillAltOneMT
mgsba	GillAltOneMT-Bold
mgsbai	GillAltOneMT-BoldItalic
mgsrai	GillAltOneMT-Italic
mgsla	GillAltOneMT-Light
mgslai	GillAltOneMT-LightItalic
mgrb	MGloucester-Bold
mgrbc	MGloucester-BoldCondensed
mgrbx	MGloucester-BoldExtended
mgrbo	MGloucester-BoldExtraCondensed
mgrr	MGloucester-OldStyle
mgyb	MGoudyBold
mgyx	MGoudyExtraBold
mg5r	MGoudyCatalogue
mg5ri	MGoudyCatalogue-Italic
mg4r	MGoudyModern
mg4ri	MGoudyModern-Italic
mgor	MGoudyOldStyle
mgori	MGoudyOldStyle-Italic
mgtr	GoudyTextMT
mgtra	GoudyTextMT-Alternate
mgtr2	GoudyTextMT-Dfr
mgtrd	GoudyTextMT-LombardicCapitals
mgqr	MGrotesque
mgqc	MGrotesque-Black
mgqb	MGrotesque-Bold
mgqrrc	MGrotesque-Condensed
mgqrrq	MGrotesque-ExtraCondensed
mgqri	MGrotesque-Italic
mgql	MGrotesque-Light
mgqlrc	MGrotesque-LightCondensed
mgqli	MGrotesque-LightItalic
mhdr	MHeadlineBold
mhor	MHorleyOldStyle
mhob	MHorleyOldStyle-Bold
mhobi	MHorleyOldStyle-BoldItalic
mhori	MHorleyOldStyle-Italic
mhol	MHorleyOldStyle-Light
mholi	MHorleyOldStyle-LightItalic
mhosi	MHorleyOldStyle-SemiBolItalic
mhos	MHorleyOldStyle-SemiBold
miir	MImprint
miib	MImprint-Bold
miibi	MImprint-BoldItalic
miiri	MImprint-Italic
mifb	MInflex-Bold
mior	MIonic
miob	MIonic-Bold
miori	MIonic-Italic
misr	MItalianOldStyle
misb	MItalianOldStyle-Bold
misbi	MItalianOldStyle-BoldItalic
misri	MItalianOldStyle-Italic
mjnr	MJanson
mjnb	MJanson-Bold
mjnbi	MJanson-BoldItalic
mjnri	MJanson-Italic
mjor	JoannaMT
mjob	JoannaMT-Bold
mjobi	JoannaMT-BoldItalic
mjox	JoannaMT-ExtraBold
mjori	JoannaMT-Italic
mjos	JoannaMT-SemiBold
mjosi	JoannaMT-SemiBoldItalic
mklr	MKlang
mlirrc	LatinMT-Condensed
mmeb	MercuriusScriptMT-Bold
mm1r	MonolineScriptMT
mmob	MModern-Bold
mmobi	MModern-BoldItalic
mmor	MModernExtended
mmori	MModernExtended-Italic
mnkr	NeographikMT
mnrr	NewBerolinaMT
mnnr	MNewClarendon
mnnb	MNewClarendon-Bold
mngr	NewsGothicMT
mngb	NewsGothicMT-Bold
mngrrc	NewsGothicMT-Condensed
mngbrc	NewsGothicMT-CondensedBold
mngri	NewsGothicMT-Italic
mnpr	NewsPlantinMT
mnpb	NewsPlantinMT-Bold
mnpbi	NewsPlantinMT-BoldItalic
mnpri	NewsPlantinMT-Italic
mnir	NimrodMT
mnib	NimrodMT-Bold
mnibi	NimrodMT-BoldItalic
mniri	NimrodMT-Italic
movr	OctavianMT
movri	OctavianMT-Italic
moer	MOldEnglishText
mosr	MOldStyle
mosb	MOldStyle-Bold
mosbi	MOldStyle-BoldItalic
mosbl	MOldStyle-BoldOutline
mosri	MOldStyle-Italic
moxr	MOnyx, OnyxMT
mp1r	PalaceScriptMT
mp2r	PepitaMT
mppr	Perpetua
mppb	Perpetua-Bold
mppbi	Perpetua-BoldItalic
mppri	Perpetua-Italic
mpprd	PerpetuaTitlingMT
mppbd	PerpetuaTitlingMT-Bold
mppld	PerpetuaTitlingMT-Light
mpprx	MPerpetuaExpert
mppbx	MPerpetuaExpert-Bold
mppbix	MPerpetuaExpert-BoldItalic
mpprix	MPerpetuaExpert-Italic
mphr	PhotinaMT
mphb	PhotinaMT-Bold
mphbi	PhotinaMT-BoldItalic
mphri	PhotinaMT-Italic
mphs	MPhotina-SemiBold
mphsi	MPhotina-SemiBoldItalic
mphu	MPhotina-UltraBold
mphui	MPhotina-UltraBoldItalic
mpdbrc	MtPlacard-BoldCondensed
mpdrrc	MtPlacard-Condensed
mpilx	MPlantinExpt-Light
mpilix	MPlantinExpt-LightItalic
mpisx	MPlantinExpt-SemiBold
mpisix	MPlantinExpt-SemiBoldItalic
mpzr	MPoliphilus
mrurrc	RunicMT-Condensed
msbr	MSabon
msbri	MSabon-Italic
msbs	MSabon-SemiBold
ms1r	MScotchRoman
ms1ri	MScotchRoman-Italic
ms2b	ScriptMT-Bold
msnb4	MSpartan-BoldSizeFour
msnb1	MSpartan-BoldSizeOne
msnb3	MSpartan-BoldSizeThree
msnb2	MSpartan-BoldSizeTwo
msnri4	MSpartan-ItalicSizeFour
msnri1	MSpartan-ItalicSizeOne
msnri3	MSpartan-ItalicSizeThree
msnri2	MSpartan-ItalicSizeTwo
msnr4	MSpartan-SizeFour
msnr1	MSpartan-SizeOne
msnr3	MSpartan-SizeThree
msnr2	MSpartan-SizeTwo
msmr	MSpectrum
msmri	MSpectrum-Italic
msms	MSpectrum-SemiBold
mswb	SwingMT-Bold
msyr	MSymbolPS
mntm	MTimesNewRoman-Medium
mntmi	MTimesNewRoman-MediumItalic
mntrz	MTimesNewRomanCyrillic
mntboz	MTimesNewRomanCyrillic-BolInc
mntbz	MTimesNewRomanCyrillic-Bold
mntroz	MTimesNewRomanCyrillic-Inc
mntrx	MTimesNewRomanExpert
mntbx	MTimesNewRomanExpert-Bold
mntrix	MTimesNewRomanExpert-Italic
mntbix	MTimesNewRomanExpt-BoldItalic
mntrk	MTimesNewRomanGreek
mntbk	MTimesNewRomanGreek-Bold
mntbko	MTimesNewRomanGreek-BoldInc
mntrko	MTimesNewRomanGreek-Inclined
mtmr	MTimesSmallText
mtmb	MTimesSmallText-Bold
mtmii	MTimesSmallText-Italic
mntr	TimesNRMT
mntb	TimesNRMT-Bold
mntbi	TimesNRMT-BoldItalic
mntrrc	TimesNRMT-Condensed
mntbrc	TimesNRMT-CondensedBold
mntric	TimesNRMT-CondensedItalic
mntx	TimesNRMT-ExtraBold
mntri	TimesNRMT-Italic
mnts	TimesNRMT-SemiBold
mntsi	TimesNRMT-SemiBoldItalic
mtwb	MTwentiethCentury-Bold
mtwbrc	MTwentiethCentury-BoldCondensed
mtwbi	MTwentiethCentury-BoldItalic
mtwx	MTwentiethCentury-ExtraBold
mtwxrc	MTwentiethCentury-ExtraBoldCondensed
mtwxi	MTwentiethCentury-ExtraBoldItalic
mtwl	MTwentiethCentury-Light
mtwli	MTwentiethCentury-LightItalic
mtwm	MTwentiethCentury-Medium
mtwmrc	MTwentiethCentury-MediumCondensed
mtwmi	MTwentiethCentury-MediumItalic
mtws	MTwentiethCentury-SemiBold
mtwsm	MTwentiethCentury-SemiMedium
mtwu	MTwentiethCentury-UltraBold
mtwurc	MTwentiethCentury-UltraBoldCondensed
mtwui	MTwentiethCentury-UltraBoldItaic
mtyre	TypewriterEliteMT
mtyrf	TypewriterGothicMT
mtyr	TypewriterMT
mvdr	MVanDijck
mwbr	MWalbaum
mwbri	MWalbaum-Italic
mwbm	MWalbaum-Medium
mwbmi	MWalbaum-MediumItalic
mzar	MZAntiqua
mzab	MZAntiqua-Bold
mzabi	MZAntiqua-BoldItalic
mzari	MZAntiqua-Italic
mzcmi	MZapfChanceryPS-MediumItalic
mzdr	MZapfDingbatsPS
mztrx	ZeitgeistExpertMT
mztbx	ZeitgeistExpertMT-Bold
zmztrxcm	ZeitgeistExpertMT-Cameo
mztrxc	ZeitgeistExpertMT-Condensed
mztix	ZeitgeistExpertMT-Italic
mztr	ZeitgeistMT
mztra	ZeitgeistMT-Alternative
mztb	ZeitgeistMT-Bold
zmztrcm	ZeitgeistMT-Cameo
mztrrc	ZeitgeistMT-Condensed
zmztrcy	ZeitgeistMT-CrazyPaving
mztri	ZeitgeistMT-Italic
